epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4795,1.70641,1.24133,1.0187,0.65212,0.5298,0.52289,0.25099,1.32985,1.10224,1.04735,0.000415679,0.000415679,0.000415679
2,132.359,1.66398,0.99549,0.99405,0.68665,0.56086,0.63342,0.32031,1.29935,1.01493,1.05281,0.000804879,0.000804879,0.000804879
3,199.507,1.63102,0.94616,0.97548,0.73531,0.5255,0.60874,0.31227,1.2624,0.91272,1.01021,0.00116658,0.00116658,0.00116658
4,265.795,1.58924,0.9278,0.9771,0.76525,0.64397,0.71977,0.38635,1.12383,0.75714,0.96432,0.00112625,0.00112625,0.00112625
5,332.204,1.55168,0.88323,0.96094,0.70984,0.60581,0.69514,0.36103,1.0657,0.73485,0.94064,0.001085,0.001085,0.001085
6,399.19,1.4958,0.8209,0.94247,0.7016,0.68209,0.72996,0.38176,1.14645,0.74464,0.96286,0.00104375,0.00104375,0.00104375
7,469.674,1.46192,0.79791,0.93367,0.74395,0.67813,0.77075,0.41767,1.02496,0.73913,0.93128,0.0010025,0.0010025,0.0010025
8,535.726,1.44986,0.78558,0.93482,0.84522,0.70765,0.79952,0.44325,1.10598,0.7281,0.97331,0.00096125,0.00096125,0.00096125
9,602.002,1.41481,0.7592,0.92454,0.74088,0.72662,0.77886,0.42003,0.98022,0.57086,0.90533,0.00092,0.00092,0.00092
10,669.088,1.37367,0.7318,0.92243,0.71478,0.68145,0.74475,0.39278,1.06611,0.66657,0.92387,0.00087875,0.00087875,0.00087875
11,739.366,1.36516,0.72404,0.91451,0.78512,0.65509,0.75129,0.41982,1.01696,0.65125,0.92072,0.0008375,0.0008375,0.0008375
12,816.319,1.3531,0.71049,0.91211,0.81353,0.67487,0.78742,0.45269,0.98978,0.66098,0.92579,0.00079625,0.00079625,0.00079625
13,891.33,1.34487,0.69168,0.90728,0.8746,0.66024,0.78477,0.43442,1.03091,0.61312,0.92354,0.000755,0.000755,0.000755
14,963.185,1.31217,0.67589,0.90527,0.77753,0.69043,0.76832,0.42699,0.94509,0.54364,0.89518,0.00071375,0.00071375,0.00071375
15,1036.73,1.29265,0.6615,0.90162,0.82071,0.69969,0.81473,0.4678,1.00097,0.57452,0.89859,0.0006725,0.0006725,0.0006725
16,1111.05,1.27603,0.65918,0.8988,0.75604,0.73702,0.81218,0.47294,0.91917,0.56702,0.88568,0.00063125,0.00063125,0.00063125
17,1184.26,1.24683,0.64006,0.89269,0.89522,0.68866,0.82753,0.49281,0.92002,0.51103,0.88335,0.00059,0.00059,0.00059
18,1257.05,1.24109,0.63473,0.88966,0.90594,0.67191,0.8134,0.47672,0.95556,0.57643,0.89911,0.00054875,0.00054875,0.00054875
19,1329.7,1.23616,0.62528,0.88664,0.80245,0.76485,0.8353,0.4972,0.87094,0.48836,0.86027,0.0005075,0.0005075,0.0005075
20,1402.35,1.20452,0.60385,0.88802,0.8627,0.74285,0.84661,0.49267,0.8763,0.47298,0.8647,0.00046625,0.00046625,0.00046625
21,1504.82,1.26209,0.59474,0.87037,0.84142,0.68677,0.82248,0.48952,0.8964,0.5041,0.87659,0.000425,0.000425,0.000425
22,1576.99,1.22584,0.57996,0.8652,0.86361,0.70219,0.81102,0.48042,0.89544,0.48621,0.87337,0.00038375,0.00038375,0.00038375
23,1648.89,1.20957,0.57705,0.86017,0.87731,0.70916,0.82832,0.47536,0.879,0.48807,0.86107,0.0003425,0.0003425,0.0003425
24,1721.34,1.18364,0.55953,0.8564,0.85391,0.74214,0.83735,0.48265,0.86539,0.47276,0.85946,0.00030125,0.00030125,0.00030125
25,1794.12,1.17933,0.54924,0.85236,0.92831,0.70132,0.84592,0.4835,0.86113,0.45734,0.86006,0.00026,0.00026,0.00026
26,1863.63,1.16929,0.54322,0.85219,0.92546,0.70673,0.84143,0.50833,0.84473,0.45676,0.85565,0.00021875,0.00021875,0.00021875
27,1934.84,1.14228,0.53366,0.85057,0.88477,0.73376,0.84518,0.50295,0.85205,0.45708,0.85281,0.0001775,0.0001775,0.0001775
28,2005.95,1.12687,0.52447,0.84713,0.86307,0.73944,0.84409,0.49439,0.84104,0.45227,0.8542,0.00013625,0.00013625,0.00013625
29,2079.75,1.1171,0.5165,0.84432,0.86832,0.75592,0.8563,0.51818,0.84444,0.44993,0.85201,9.5e-05,9.5e-05,9.5e-05
30,2150.47,1.09999,0.50595,0.84088,0.86262,0.76688,0.85673,0.51577,0.8379,0.43345,0.85221,5.375e-05,5.375e-05,5.375e-05
