epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.9118,1.75882,1.29249,1.01665,0.53326,0.51979,0.51241,0.2489,1.35042,0.9866,1.02118,0.000416172,0.000416172,0.000416172
2,178.856,1.71187,1.03507,0.99205,0.86278,0.48019,0.57997,0.28426,1.42389,1.06724,1.10207,0.000750388,0.000750388,0.000750388
3,260.074,1.65066,0.96579,0.97608,0.71456,0.55443,0.61468,0.3152,1.22333,0.83436,1.01719,0.0010021,0.0010021,0.0010021
4,340.717,1.58544,0.88853,0.9547,0.70625,0.61941,0.64727,0.3274,1.38814,0.87135,1.16607,0.00087875,0.00087875,0.00087875
5,421.365,1.55789,0.84042,0.94607,0.714,0.61377,0.67908,0.3544,1.15226,0.71169,0.99414,0.000755,0.000755,0.000755
6,502.708,1.48664,0.78564,0.93666,0.70212,0.63148,0.70017,0.36542,1.1645,0.67642,0.982,0.00063125,0.00063125,0.00063125
7,583.238,1.42592,0.73495,0.92541,0.72482,0.66607,0.7065,0.38862,1.08064,0.63288,0.94277,0.0005075,0.0005075,0.0005075
8,664.534,1.39168,0.69728,0.91014,0.77521,0.70773,0.77253,0.43487,1.02759,0.58798,0.95848,0.00038375,0.00038375,0.00038375
9,746.977,1.32286,0.65643,0.89751,0.80311,0.68449,0.77931,0.44744,0.99085,0.5745,0.923,0.00026,0.00026,0.00026
10,827.177,1.28298,0.63045,0.88769,0.80173,0.69903,0.79122,0.45704,0.92127,0.53382,0.88873,0.00013625,0.00013625,0.00013625
